,DATE,GS1,US,GS1_real_interest
241,1980-02-01,13.92,13.1704834494421,0.7495165505578996
242,1980-03-01,15.82,12.814687148972418,3.0053128510275826
243,1980-04-01,13.3,12.420447300058342,0.8795526999416587
244,1980-05-01,9.39,12.034977024612518,-2.6449770246125173
245,1980-06-01,8.16,11.632317921932849,-3.4723179219328486
246,1980-07-01,8.65,11.434742477143422,-2.7847424771434213
247,1980-08-01,10.24,11.262383560677105,-1.0223835606771043
248,1980-09-01,11.52,11.125037290623062,0.3949627093769372
249,1980-10-01,12.49,10.906333289552547,1.5836667104474529
250,1980-11-01,14.15,10.65153511713424,3.498464882865761
251,1980-12-01,14.88,10.352040665883004,4.527959334116996
252,1981-01-01,14.08,10.065841648853382,4.014158351146618
253,1981-02-01,14.57,9.750462812146733,4.819537187853268
254,1981-03-01,13.71,9.44152694807851,4.268473051921491
255,1981-04-01,14.32,9.15065526831794,5.1693447316820595
256,1981-05-01,16.2,8.892452216348788,7.307547783651211
257,1981-06-01,14.86,8.685070374838963,6.174929625161036
258,1981-07-01,15.72,8.325008577669553,7.394991422330447
259,1981-08-01,16.72,7.912189061997627,8.807810938002373
260,1981-09-01,16.52,7.4197338538771795,9.10026614612282
261,1981-10-01,15.38,7.002873592338921,8.37712640766108
262,1981-11-01,12.41,6.586079502287514,5.8239204977124865
263,1981-12-01,12.85,6.161698117870627,6.688301882129372
264,1982-01-01,14.32,5.771760972622115,8.548239027377885
265,1982-02-01,14.73,5.427267141542047,9.302732858457954
266,1982-03-01,13.95,5.162119023286585,8.787880976713414
267,1982-04-01,13.98,4.944560776809009,9.035439223190991
268,1982-05-01,13.34,4.68352294899091,8.656477051009091
269,1982-06-01,14.07,4.309631442956304,9.760368557043696
270,1982-07-01,13.24,3.9780056451733015,9.2619943548267
271,1982-08-01,11.43,3.703702819585284,7.726297180414716
272,1982-09-01,10.85,3.5217980555929462,7.328201944407054
273,1982-10-01,9.32,3.331142850044394,5.9888571499556065
274,1982-11-01,9.16,3.220825510728732,5.939174489271268
275,1982-12-01,8.91,3.217591875104965,5.692408124895035
276,1983-01-01,8.62,3.25764772378295,5.362352276217049
277,1983-02-01,8.92,3.3499939717341096,5.57000602826589
278,1983-03-01,9.04,3.450238435274454,5.589761564725546
279,1983-04-01,8.98,3.505659571789812,5.474340428210189
280,1983-05-01,8.9,3.5627271072018494,5.3372728927981505
281,1983-06-01,9.66,3.699709268869292,5.9602907311307085
282,1983-07-01,10.2,3.844931414091437,6.355068585908562
283,1983-08-01,10.53,3.9893117084328114,6.540688291567188
284,1983-09-01,10.16,4.10681570412656,6.05318429587344
285,1983-10-01,9.81,4.2239908635977,5.586009136402301
286,1983-11-01,9.94,4.2894973033277415,5.650502696672258
287,1983-12-01,10.11,4.302637613179452,5.8073623868205475
288,1984-01-01,9.9,4.247691473942205,5.652308526057795
289,1984-02-01,10.04,4.157616301572441,5.882383698427558
290,1984-03-01,10.59,4.0661901801837725,6.523809819816227
291,1984-04-01,10.9,3.993010803078238,6.906989196921762
292,1984-05-01,11.66,3.9545015686613154,7.705498431338684
293,1984-06-01,12.08,3.916146824836116,8.163853175163883
294,1984-07-01,12.03,3.861986035805012,8.168013964194987
295,1984-08-01,11.82,3.783474796720185,8.036525203279815
296,1984-09-01,11.58,3.689537122345567,7.890462877654433
297,1984-10-01,10.9,3.603824135092427,7.296175864907573
298,1984-11-01,9.82,3.559023033528042,6.260976966471958
299,1984-12-01,9.33,3.546523295241313,5.783476704758687
300,1985-01-01,9.02,3.575971674921544,5.444028325078456
301,1985-02-01,9.29,3.542436887185694,5.747563112814305
302,1985-03-01,9.86,3.421764836689082,6.438235163310917
303,1985-04-01,9.14,3.2471422769817004,5.892857723018301
304,1985-05-01,8.46,3.057091123981172,5.402908876018829
305,1985-06-01,7.8,2.890837011878654,4.909162988121346
306,1985-07-01,7.86,2.7260636534041818,5.133936346595819
307,1985-08-01,8.05,2.578129634856126,5.471870365143875
308,1985-09-01,8.07,2.462423703360721,5.607576296639279
309,1985-10-01,8.01,2.3160129722622664,5.693987027737734
310,1985-11-01,7.88,2.130232429702926,5.749767570297074
311,1985-12-01,7.67,1.9051678659172069,5.764832134082793
312,1986-01-01,7.73,1.7029677067861992,6.027032293213801
